date,total_avg_fps,android_avg_fps,ios_avg_fps
2022-02-12,31.6,28.57,51.31
2022-02-13,30.47,27.17,51.2
2022-02-14,29.56,26.1,50.08
2022-02-15,28.65,26.35,47.53
2022-02-16,28.87,26.91,49.09
2022-02-17,29.31,27.3,51.24
2022-02-18,28.72,26.49,51.46
2022-02-19,30.05,27.63,52.22
2022-02-20,31.03,28.25,52.56
2022-02-21,31.89,28.6,52.8
2022-02-22,30.83,27.53,52.73
2022-02-23,30.57,27.95,52.28
2022-02-24,31.63,28.94,51.8
2022-02-25,30.65,28.15,51.82
2022-02-26,30.66,28.5,52.0
2022-02-27,30.37,28.04,51.92
2022-02-28,30.21,27.88,52.15
2022-03-01,34.41,32.92,51.65
2022-03-02,36.36,35.29,51.45
2022-03-03,36.31,35.37,51.04
2022-03-04,36.9,35.91,51.07
2022-03-05,37.4,36.42,51.4
2022-03-06,37.41,36.23,52.1
2022-03-07,37.41,36.12,52.05
2022-03-08,36.88,35.92,51.07
2022-03-09,35.83,34.92,50.14
2022-03-10,35.09,33.51,48.7
2022-03-11,36.04,34.42,49.37
2022-03-12,36.62,35.09,49.49
2022-03-13,36.89,35.23,50.19
2022-03-14,37.54,35.41,50.51
2022-03-15,37.58,35.12,50.07
2022-03-16,36.56,34.27,49.45
2022-03-17,36.89,34.94,49.94
2022-03-18,36.42,34.42,50.0
2022-03-19,36.4,34.58,50.49
2022-03-20,36.62,34.6,50.47
2022-03-21,36.38,34.33,50.18
2022-03-22,36.54,34.92,50.48
2022-03-23,35.95,34.74,50.62
2022-03-24,34.18,31.52,49.22
2022-03-25,36.18,34.82,51.13
2022-03-26,35.66,34.21,51.1
2022-03-27,35.84,34.27,51.11
2022-03-28,35.8,34.27,51.12
2022-03-29,35.18,34.01,50.36
2022-03-30,35.33,34.29,49.95
2022-03-31,35.57,34.51,50.4
2022-04-01,34.37,33.38,50.21
2022-04-02,34.4,33.34,50.19
2022-04-03,34.95,33.77,51.24
2022-04-04,34.6,33.37,51.17
2022-04-05,34.3,33.25,50.75
2022-04-06,34.14,33.17,50.55
2022-04-07,33.62,32.65,50.59
2022-04-08,33.63,32.74,51.01
2022-04-09,33.03,32.19,50.16
2022-04-10,33.25,32.37,50.56
2022-04-11,33.09,32.14,50.35
